0,0,0,0,0,0,0,0,0,0
1,0.493,10.5109,0.3229,26.1257,0.1402,3.1424,0.0408,57.7997,0.003
2,0.8734,9.1037,0.6309,3.3568,0.3112,22.9276,0.178,0.9821,0.0064
3,1.1282,3.9546,0.7508,1.0524,0.6175,85.3905,0.4653,168.261,0.0377
4,1.5919,43.6427,1.1278,1.8623,0.5391,103.483,0.7029,0.542,0.0385
5,2.0545,23.2185,1.3326,1.021,1.0979,60.3498,0.7068,0.1403,-0.1932
6,2.31,20.8439,1.02,10.2075,1.5886,0.5687,0.865,51.6512,0.2156
7,12.2126,0.0057,3.1322,9.8933,2.0125,28.9975,1.1663,0.5826,-11.529
8,3.0485,13.2771,2.2868,5.7011,1.5463,0.3239,0.867,32.9089,0.2508
9,3.5392,10.2825,2.6412,4.2944,1.517,0.2615,1.0243,26.1476,0.2776
10,3.9553,8.4042,3.1125,3.4262,1.4546,0.2306,1.1251,21.7184,0.3515
11,4.7626,3.285,3.1736,8.8422,1.2674,0.3136,1.1128,129.424,0.676
12,5.4204,2.8275,2.1735,79.2611,1.2269,0.3808,2.3073,7.1937,0.8584
13,6.4202,3.0387,1.9002,0.7426,1.5936,31.5472,1.9646,85.0886,1.1151
14,6.2915,2.4386,3.0353,32.3337,1.9891,0.6785,1.541,81.6937,1.1407
15,6.4345,1.9067,4.1791,27.157,1.78,0.526,1.4908,68.1645,1.1149
16,6.9053,1.4679,5.2034,22.2151,1.4379,0.2536,1.5863,56.172,0.8669
17,11.4604,0.0104,7.1964,1.1662,6.2556,18.5194,1.6455,47.7784,-9.5574
18,7.4845,0.9072,6.7723,14.8407,0.6539,43.8983,1.6442,33.3929,1.4445
19,8.2186,12.7949,7.4398,0.7748,1.0519,213.187,0.8659,41.6841,1.4228
20,8.6266,10.4421,7.3873,0.6599,1.5899,85.7484,1.0211,178.437,1.3751
21,9.189,9.0213,7.3679,0.5729,1.6409,136.108,1.468,51.3531,1.3329
22,9.7595,7.8508,7.3558,0.5,1.6991,35.6338,1.9021,116.105,1.2807
23,10.2971,6.8657,7.3511,0.4385,2.0703,26.8938,2.0571,102.478,1.2199
24,10.6406,6.1038,7.3537,0.392,3.324,20.2626,1.4922,98.7399,1.1832
25,11.2819,5.3409,7.3573,0.3432,3.0193,17.8674,2.2441,83.7543,1.0896
26,11.7695,4.7611,7.3573,0.3072,3.5222,15.3535,2.3045,76.8805,1.0369
27,12.2841,4.2791,7.3409,0.2784,4.0034,13.5359,2.3488,71.1692,1.0118
28,12.8376,3.8785,7.292,0.2565,4.4438,12.1763,2.38,66.3421,1.0341
29,13.338,3.5828,7.1676,0.247,5.6158,11.3966,1.6735,64.8126,1.191
30,14.0743,3.2655,7.0318,0.2333,5.1652,10.3163,2.41,58.7097,1.3041
31,15.2354,3.0669,6.7006,0.2412,4.3591,10.7805,2.9623,61.4135,1.7189
32,16.0816,2.8509,6.3747,0.2516,3.7068,11.4468,3.683,54.7625,2.1313
